자동 규칙 추가 로그
  옥따위를 -> 옥 따위를
  온열병따위의 -> 온열병 따위의
  옷차림따위에 -> 옷차림 따위에
  외빈접대따위의 -> 외빈접대 따위의
  웃입술사이에 -> 웃입술 사이에
  위패따위를 -> 위패 따위를
  유무따위를 -> 유무 따위를
  음향효과따위를 -> 음향효과 따위를
  의지따위가 -> 의지 따위가
  이야기따위가 -> 이야기 따위가
  이웃사이도 -> 이웃 사이도
  인질따위의 -> 인질 따위의
  인터네트따위의 -> 인터네트 따위의
  일따위가 -> 일 따위가
  잎따위가 -> 잎 따위가
  자전거따위의 -> 자전거 따위의
  잘못따위를 -> 잘못 따위를
  잠간사이에 -> 잠간 사이에
  잡초따위가 -> 잡초 따위가
  재간따위가 -> 재간 따위가
  재력따위를 -> 재력 따위를
  재물따위를 -> 재물 따위를
  재봉틀따위의 -> 재봉틀 따위의
  전류따위의 -> 전류 따위의
  전통극따위에 -> 전통극 따위에
  전후관계따위를 -> 전후관계 따위를
  점사이의 -> 점 사이의
  점포따위에 -> 점포 따위에
  접대따위의 -> 접대 따위의
  조건따위를 -> 조건 따위를
  조약돌따위가 -> 조약돌 따위가
  조치따위를 -> 조치 따위를
  주판따위를 -> 주판 따위를
  주필따위의 -> 주필 따위의
  죽간사이에 -> 죽간 사이에
  준치따위의 -> 준치 따위의
  중심선사이의 -> 중심선 사이의
  증서따위의 -> 증서 따위의
  지수따위를 -> 지수 따위를
  지식따위가 -> 지식 따위가
  지푸라기따위를 -> 지푸라기 따위를
  직물따위를 -> 직물 따위를
  진영사이에 -> 진영 사이에
  진흙따위를 -> 진흙 따위를
  질서따위가 -> 질서 따위가
  집안사이에 -> 집안 사이에
  집안사이의 -> 집안 사이의
  차량따위를 -> 차량 따위를
  창문따위를 -> 창문 따위를
  책망따위의 -> 책망 따위의
  천문학따위의 -> 천문학 따위의
  청각따위가 -> 청각 따위가
  청량음료따위의 -> 청량음료 따위의
  청어따위의 -> 청어 따위의
  초따위를 -> 초 따위를
  촉각따위가 -> 촉각 따위가
  촌장따위는 -> 촌장 따위는
  친구사이이 -> 친구 사이이
  칵테일따위의 -> 칵테일 따위의
  칼따위를 -> 칼 따위를
  탈세따위의 -> 탈세 따위의
  토양따위가 -> 토양 따위가
  토지따위를 -> 토지 따위를
  통계따위에 -> 통계 따위에
  통신회선따위를 -> 통신회선 따위를
  패거리따위를 -> 패거리 따위를
  포장단위따위에 -> 포장단위 따위에
  폭따위를 -> 폭 따위를
  하천따위가 -> 하천 따위가
  하천따위의 -> 하천 따위의
  학술따위의 -> 학술 따위의
  행동따위가 -> 행동 따위가
  행동따위에 -> 행동 따위에
  행사이의 -> 행 사이의
  현악기따위를 -> 현악기 따위를
  형제사이가 -> 형제 사이가
  형제사이의 -> 형제 사이의
  호상관계따위가 -> 호상관계 따위가
  호의따위를 -> 호의 따위를
  화페따위가 -> 화페 따위가
  확스따위를 -> 확스 따위를
  회의따위에 -> 회의 따위에
  힘따위를 -> 힘 따위를
